frame,Pred count,Pray count
0,20,100
1,20,100
2,20,100
3,20,100
4,20,100
5,20,100
6,20,100
7,20,100
8,20,101
9,20,101
10,20,101
11,20,101
12,20,102
13,20,102
14,20,101
15,20,101
16,20,101
17,20,101
18,20,101
19,20,101
20,20,101
21,20,101
22,20,101
23,20,101
24,20,100
25,20,100
26,20,101
27,20,100
28,20,100
29,20,100
30,20,99
31,20,99
32,20,99
33,20,99
34,20,100
35,20,99
36,20,99
37,20,99
38,20,99
39,20,100
40,20,101
41,20,101
42,20,101
43,20,101
44,20,101
45,20,101
46,20,101
47,20,101
48,20,101
49,20,101
50,20,99
51,20,100
52,20,100
53,20,100
54,20,101
55,20,100
56,20,101
57,20,101
58,20,101
59,20,101
60,20,101
61,20,101
62,20,102
63,20,101
64,20,102
65,20,102
66,20,102
67,20,102
68,20,102
69,20,102
70,20,102
71,20,101
72,20,101
73,20,101
74,20,101
75,20,100
76,20,100
77,20,100
78,20,100
79,20,101
80,20,102
81,20,101
82,20,101
83,20,101
84,20,101
85,20,101
86,20,101
87,20,100
88,20,99
89,20,99
90,20,99
91,20,99
92,20,99
93,20,99
94,19,99
95,19,99
96,19,99
97,19,99
98,19,99
99,18,98
100,18,98
101,18,98
102,18,98
103,17,98
104,17,98
105,17,98
106,17,98
107,17,98
108,16,98
109,16,99
110,16,99
111,16,99
112,16,99
113,16,99
114,16,99
115,16,99
116,15,99
117,15,98
118,15,98
119,15,99
120,15,98
121,15,99
122,15,99
123,15,99
124,15,99
125,15,99
126,15,98
127,15,98
128,15,99
129,14,99
130,14,100
131,14,100
132,14,100
133,14,100
134,14,100
135,14,102
136,14,102
137,14,102
138,14,102
139,14,101
140,14,101
141,14,101
142,13,101
143,13,102
144,13,102
145,13,102
146,13,103
147,13,105
148,13,106
149,12,107
150,12,107
151,12,107
152,12,107
153,12,108
154,11,108
155,11,108
156,11,109
157,11,109
158,11,109
159,11,109
160,11,109
161,11,109
162,11,108
163,11,108
164,11,108
165,10,109
166,10,109
167,10,109
168,10,110
169,9,110
170,9,110
171,9,111
172,9,112
173,9,112
174,9,112
175,8,112
176,8,112
177,8,111
178,8,111
179,8,111
180,8,112
181,8,112
182,8,112
183,8,112
184,8,113
185,8,114
186,8,114
187,8,115
188,8,116
189,8,116
190,8,115
191,8,114
192,8,114
193,8,114
194,8,114
195,8,115
196,7,115
197,7,116
198,7,116
199,7,116
200,7,116
201,7,116
202,7,116
203,7,116
204,7,116
205,7,117
206,7,117
207,7,117
208,6,118
209,5,118
210,5,118
211,5,118
212,5,118
213,5,118
214,5,118
215,5,118
216,5,118
217,3,118
218,2,118
219,2,118
220,2,119
221,2,119
222,2,119
223,2,119
224,2,119
225,2,119
226,2,119
227,2,119
228,2,119
229,2,119
230,2,120
231,2,119
232,2,121
233,2,121
234,2,121
235,2,122
236,2,123
237,2,123
238,2,123
239,2,123
240,2,123
241,2,124
242,2,124
243,2,125
244,2,125
245,2,126
246,2,126
247,2,126
248,2,127
249,2,127
250,2,126
251,2,126
252,2,126
253,2,126
254,2,126
255,2,126
256,2,126
257,2,126
258,2,127
259,2,127
260,2,127
261,2,128
262,2,128
263,2,128
264,2,128
265,2,129
266,2,129
267,1,129
268,1,129
269,1,129
270,1,129
271,1,129
272,1,129
273,1,129
274,1,129
275,1,129
276,1,129
277,1,129
278,1,129
279,1,129
280,1,129
281,1,129
282,0,129
283,0,129
284,0,129
285,0,130
286,0,130
287,0,130
288,0,130
289,0,130
290,0,130
